timestamp,accel,HR,o2%
0,0.150269,107,97
2,0.150269,107,97
4,0.150269,107,97
5,0.150269,107,97
15,0.160425,107,97
16,0.161914,107,97
17,0.162891,107,97
18,0.164087,107,97
19,0.164087,107,97
21,0.167065,107,97
22,0.166162,107,97
23,0.165625,107,97
24,0.166724,107,97
25,0.166504,107,97
26,0.166504,107,97
27,0.166797,107,97
28,0.167529,107,97
29,0.167749,107,97
30,0.167554,107,97
31,0.166016,107,97
32,0.165796,107,97
33,0.165771,107,97
34,0.165771,107,97
35,0.165308,107,97
40,0.158984,107,97
41,0.158252,107,97
42,0.158252,107,97
44,0.156982,107,97
45,0.157324,107,97
46,0.157642,107,97
47,0.158374,107,97
48,0.158203,107,97
49,0.158203,107,97
50,0.158276,107,97
51,0.158228,107,97
52,0.15896,107,97
53,0.159692,107,97
54,0.161621,107,97
55,0.163696,107,97
56,0.164185,107,97
57,0.164185,107,97
58,0.16416,107,97
59,0.163745,107,97
60,0.164795,107,97
70,0.159839,107,97
71,0.159473,107,97
72,0.159473,107,97
73,0.15896,107,97
74,0.160254,107,97
75,0.161011,107,97
76,0.161084,107,97
77,0.161499,107,97
78,0.162817,107,97
79,0.163843,107,97
80,0.163843,107,97
81,0.165112,107,97
82,0.165479,107,97
83,0.166113,107,97
84,0.166968,107,97
86,0.166748,107,97
87,0.166748,107,97
88,0.167432,107,97
89,0.1677,107,97
90,0.167041,107,97
95,0.165918,107,97
96,0.165552,107,97
97,0.165137,107,97
98,0.163525,107,97
99,0.162524,107,97
100,0.162329,107,97
101,0.162378,107,97
102,0.163135,107,97
103,0.163135,107,97
104,0.163159,107,97
105,0.162817,107,97
106,0.162427,107,97
107,0.162402,107,97
108,0.162671,107,97
109,0.164233,107,97
110,0.164771,107,97
111,0.164771,107,97
113,0.165527,107,97
114,0.165088,107,97
124,0.169971,107,97
125,0.169531,107,97
126,0.169531,107,97
127,0.169165,107,97
128,0.167969,107,97
129,0.165674,107,97
130,0.162012,107,97
131,0.160498,107,97
132,0.159229,107,97
133,0.158374,107,97
134,0.158374,107,97
136,0.159546,107,97
137,0.160205,107,97
138,0.160254,107,97
139,0.160571,107,97
140,0.161426,107,97
